course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
HTML TUTORIAL FOR BEGINNERS,https://youtu.be/HcOc7P5BMi4?si=o0QzH8hMEcw0jHHk,FALSE,0,12771423,14211,1,BEGINNER,02:05:59,WEB DEVELOPMENT,2022-03-22,2022,3,22
LEARN HTML – FULL TUTORIAL FOR BEGINNERS (2022),https://youtu.be/kUMe1FH4CHE?si=N0F7KRkyJf8NQGVP,FALSE,0,2472224,1394,1,BEGINNER,04:07:29,WEB DEVELOPMENT,2022-03-08,2022,3,8
HTML AND CSS TUTORIALS ,https://youtube.com/playlist?list=PLWKjhJtqVAbnSe1qUNMG7AbPmjIG54u88&si=ap5H8AJcnt1pw15w,FALSE,0,729094,25678,10,BEGINNER,71:55:40,WEB DEVELOPMENT,2023-04-17,2023,4,17
HTML & CSS FULL COURSE - BEGINNER TO PRO,https://youtu.be/G3e-cpL7ofc?si=lCmr6VuoQNmqRN-4,FALSE,0,9370807,10199,1,BEGINNER,06:31:23,WEB DEVELOPMENT,2022-02-05,2022,2,5
HTML TUTORIAL FOR BEGINNERS ,https://youtube.com/playlist?list=PLr6-GrHUlVf_ZNmuQSXdS197Oyr1L9sPB&si=DNmvmpqMefaDiM9m,FALSE,0,9261240,12000,30,ALL LEVEL,01:30:00,WEB DEVELOPMENT,2016-09-02,2016,9,2
HTML TUTORIAL FOR BEGINNERS: HTML CRASH COURSE,https://youtu.be/qz0aGYrrlhU?si=_gYbnzZdDnpv5Ekv,FALSE,0,8198582,5018,1,ALL LEVEL,01:09:33,WEB DEVELOPMENT,2021-01-11,2021,1,11
CSS TUTORIAL – FULL COURSE FOR BEGINNERS,https://youtu.be/OXGznpKZ_sA?si=B9pTKYAO1mVlIVFt,FALSE,0,1607282,862,1,ALL LEVEL,11:08:09,WEB DEVELOPMENT,2022-08-30,2022,8,30
"CSS TUTORIAL FOR BEGINNERS | COMPLETE CSS WITH PROJECT, NOTES & CODE",https://youtu.be/ESnrn1kAD4E?si=VtHfM6h2mqvy2R5i,FALSE,0,5349999,6088,1,ALL LEVEL,07:08:23,WEB DEVELOPMENT,2023-06-04,2023,6,4
HTML & CSS FULL COURSE FOR FREE,https://youtu.be/HGTJBPNC-Gw?si=WMOXXO_P9223A7Vh,FALSE,0,1744031,1821,1,ALL LEVEL,04:02:42,WEB DEVELOPMENT,2023-05-31,2023,5,31
COMPLETE CSS - BASICS TO ADVANCED ,https://youtube.com/playlist?list=PLhzIaPMgkbxBk9-drEC0MBPqEOXpVlwY4&si=gARgGF8OhJaP54jR,FALSE,0,311267,2341,21,ALL LEVEL,08:20:00,WEB DEVELOPMENT,2023-02-09,2023,2,9
CSS TUTORIALS FOR BEGINNERS ,https://youtube.com/playlist?list=PL0Zuz27SZ-6Mx9fd9elt80G1bPcySmWit&si=marwvnGEKSG7aG8x,FALSE,0,277753,2348,28,BEGINNER,21:00:00,WEB DEVELOPMENT,2023-05-20,2023,5,20
